560.2857143	678.5	723.4285714	917	719.6		538.8333333	697	737.25
627	960	957.4285714	1296.666667	973.4		597.3333333	950	1020.5
443.5714286	560	710.7142857	1088.333333	732.2		443.1666667	630.25	802
630.7415286	819.827075	928.8856714	1363.758633	928.39124		703.3660167	889.679675	1052.407675
636.9911	641.932575	742.5492429	971.1383667	879.04586		923.8636167	787.31075	1046.52765
693.5936143	727.0487	847.6561571	1214.320733	943.11644		1075.222317	914.587425	1130.398325
598	609.75	691.8571429	871	756.8		847.5	750	904.75
596.1499714	564.99885	688.0406714	874.1909	815.3349		1046.588633	802.175925	1065.067775
306.3575857	247.876525	414.9823571	739.7757333	598.37672		739.4305667	972.521575	1035.992075
205.0463857	155.390125	252.7903857	457.0923333	390.77606		460.3953667	580.60335	613.929925
