498.8888889	502.1428571	681.2222222	527.5555556	651.5555556
620.2222222	650.2857143	1062.333333	696.7777778	994.6666667
430	371	723.6666667	522.4444444	765.7777778
869.9064333	827.7183714	1678.246078	1076.3537	1608.646233
2233.271011	2915.3527	3386.993644	2466.298656	2737.364089
2785.455044	4395.502457	3961.816756	3044.517344	3218.383244
2780.111111	4332	3966	3014.888889	3267.888889
3047.5016	4570.371743	4311.296522	3289.827078	3583.696333
1657.407433	1755.356814	2177.822133	2015.475567	1848.321
804.6004889	846.5652	1141.914556	1110.236244	1012.402067
