1485.8	973.75	829.2222222	2260	1907.333333	1149.636364	844
1730.5	1124.125	1027.444444	1473.666667	2107.5	1300.181818	917
1930.8	1129.875	1392	1142.333333	2383.833333	1333.909091	878.3333333
2197.42898	1390.153506	1786.655556	1198.8361	2580.359867	1542.106391	1114.021433
2406.85309	1742.803663	2247.843522	1308.290267	2758.79085	1769.970527	1474.24105
2557.64186	1895.976825	2505.670689	2581.3295	3263.7993	1940.9048	1659.55675
2468.2	1797.625	2392.444444	3092	3314.666667	1821.818182	1471.333333
2677.86402	1989.062144	2634.512467	3314.161567	3500.700733	1956.910164	1674.870083
2845.05788	2001.406413	2993.451344	4924.301967	4189.460433	2031.588045	1580.595267
2681.62422	1563.80965	2533.4349	5494.473433	4161.710617	1700.906218	1194.5776
